date,symbol,close
2013-09-26,AXP,76.320000
2013-09-26,BA,119.379997
2013-09-26,CAT,84.199997
2013-09-26,CSCO,23.770000
2013-09-26,CVX,123.489998
2013-09-26,DD,59.510000
2013-09-26,DIS,65.239998
2013-09-26,GE,24.250000
2013-09-26,GS,162.289993
2013-09-26,HD,76.070000
2013-09-26,IBM,190.220001
2013-09-26,INTC,23.410000
2013-09-26,JNJ,87.070000
2013-09-26,JPM,51.889999
2013-09-26,KO,38.740002
2013-09-26,MCD,98.190002
2013-09-26,MMM,120.660004
2013-09-26,MRK,47.680000
2013-09-26,MSFT,32.770000
2013-09-26,NKE,70.339996
2013-09-26,PFE,28.520000
2013-09-26,PG,78.050003
2013-09-26,T,34.230000
2013-09-26,TRV,85.830002
2013-09-26,UNH,72.160004
2013-09-26,UTX,109.660004
2013-09-26,V,193.559998
2013-09-26,VZ,47.669998
2013-09-26,WMT,74.620003
2013-09-26,XOM,87.070000
2013-09-26,^DJI,15328.299805
2013-09-27,AXP,75.889999
2013-09-27,BA,118.739998
2013-09-27,CAT,83.800003
2013-09-27,CSCO,23.330000
2013-09-27,CVX,122.639999
2013-09-27,DD,59.009999
2013-09-27,DIS,65.190002
2013-09-27,GE,24.049999
2013-09-27,GS,159.850006
2013-09-27,HD,75.959999
2013-09-27,IBM,186.919998
2013-09-27,INTC,22.980000
2013-09-27,JNJ,86.730003
2013-09-27,JPM,52.240002
2013-09-27,KO,38.400002
2013-09-27,MCD,97.120003
2013-09-27,MMM,120.220001
2013-09-27,MRK,47.790001
2013-09-27,MSFT,33.270000
2013-09-27,NKE,73.639999
2013-09-27,PFE,28.879999
2013-09-27,PG,77.209999
2013-09-27,T,33.980000
2013-09-27,TRV,85.410004
2013-09-27,UNH,71.989998
2013-09-27,UTX,109.360001
2013-09-27,V,193.050003
2013-09-27,VZ,47.000000
2013-09-27,WMT,74.360001
2013-09-27,XOM,86.900002
2013-09-27,^DJI,15258.240234
2013-09-30,AXP,75.519997
2013-09-30,BA,117.500000
2013-09-30,CAT,83.400002
2013-09-30,CSCO,23.430000
2013-09-30,CVX,121.500000
2013-09-30,DD,58.560000
2013-09-30,DIS,64.489998
2013-09-30,GE,23.889999
2013-09-30,GS,158.210007
2013-09-30,HD,75.849998
2013-09-30,IBM,185.179993
2013-09-30,INTC,22.920000
2013-09-30,JNJ,86.690002
2013-09-30,JPM,51.689999
2013-09-30,KO,37.880001
2013-09-30,MCD,96.209999
2013-09-30,MMM,119.410004
2013-09-30,MRK,47.610001
2013-09-30,MSFT,33.279999
2013-09-30,NKE,72.639999
2013-09-30,PFE,28.730000
2013-09-30,PG,75.589996
2013-09-30,T,33.820000
2013-09-30,TRV,84.769997
2013-09-30,UNH,71.610001
2013-09-30,UTX,107.820000
2013-09-30,V,191.100006
2013-09-30,VZ,46.669998
2013-09-30,WMT,73.959999
2013-09-30,XOM,86.040001
2013-09-30,^DJI,15129.669922
2013-10-01,AXP,75.930000
2013-10-01,BA,117.750000
2013-10-01,CAT,83.760002
2013-10-01,CSCO,23.240000
2013-10-01,CVX,121.320000
2013-10-01,DD,58.689999
2013-10-01,DIS,64.830002
2013-10-01,GE,24.170000
2013-10-01,GS,159.000000
2013-10-01,HD,76.260002
2013-10-01,IBM,186.380005
2013-10-01,INTC,22.830000
2013-10-01,JNJ,87.470001
2013-10-01,JPM,51.959999
2013-10-01,KO,37.950001
2013-10-01,MCD,96.129997
2013-10-01,MMM,119.620003
2013-10-01,MRK,48.740002
2013-10-01,MSFT,33.580002
2013-10-01,NKE,72.419998
2013-10-01,PFE,28.889999
2013-10-01,PG,76.160004
2013-10-01,T,34.060001
2013-10-01,TRV,84.660004
2013-10-01,UNH,72.580002
2013-10-01,UTX,107.379997
2013-10-01,V,193.220001
2013-10-01,VZ,46.990002
2013-10-01,WMT,73.589996
2013-10-01,XOM,86.000000
2013-10-01,^DJI,15191.700195
2013-10-02,AXP,74.580002
2013-10-02,BA,117.839996
2013-10-02,CAT,84.070000
2013-10-02,CSCO,23.320000
2013-10-02,CVX,120.830002
2013-10-02,DD,58.989999
2013-10-02,DIS,64.879997
2013-10-02,GE,24.330000
2013-10-02,GS,158.669998
2013-10-02,HD,76.320000
2013-10-02,IBM,184.960007
2013-10-02,INTC,22.889999
2013-10-02,JNJ,87.290001
2013-10-02,JPM,52.090000
2013-10-02,KO,37.430000
2013-10-02,MCD,95.279999
2013-10-02,MMM,119.199997
2013-10-02,MRK,48.369999
2013-10-02,MSFT,33.919998
2013-10-02,NKE,71.889999
2013-10-02,PFE,29.010000
2013-10-02,PG,75.930000
2013-10-02,T,33.939999
2013-10-02,TRV,84.480003
2013-10-02,UNH,72.570000
2013-10-02,UTX,104.980003
2013-10-02,V,191.820007
2013-10-02,VZ,46.790001
2013-10-02,WMT,73.720001
2013-10-02,XOM,86.080002
2013-10-02,^DJI,15133.139648
2013-10-03,AXP,74.019997
2013-10-03,BA,115.239998
2013-10-03,CAT,83.970001
2013-10-03,CSCO,23.010000
2013-10-03,CVX,118.250000
2013-10-03,DD,57.759999
2013-10-03,DIS,64.019997
2013-10-03,GE,24.100000
2013-10-03,GS,156.850006
2013-10-03,HD,75.879997
2013-10-03,IBM,183.860001
2013-10-03,INTC,22.600000
2013-10-03,JNJ,86.580002
2013-10-03,JPM,51.939999
2013-10-03,KO,37.160000
2013-10-03,MCD,94.669998
2013-10-03,MMM,118.550003
2013-10-03,MRK,48.360001
2013-10-03,MSFT,33.860001
2013-10-03,NKE,71.639999
2013-10-03,PFE,28.770000
2013-10-03,PG,75.839996
2013-10-03,T,33.639999
2013-10-03,TRV,84.059998
2013-10-03,UNH,72.519997
2013-10-03,UTX,103.690002
2013-10-03,V,188.649994
2013-10-03,VZ,47.009998
2013-10-03,WMT,73.160004
2013-10-03,XOM,85.500000
2013-10-03,^DJI,14996.480469
2013-10-04,AXP,74.309998
2013-10-04,BA,117.199997
2013-10-04,CAT,84.199997
2013-10-04,CSCO,23.020000
2013-10-04,CVX,118.129997
2013-10-04,DD,58.649998
2013-10-04,DIS,65.300003
2013-10-04,GE,24.049999
2013-10-04,GS,156.550003
2013-10-04,HD,75.779999
2013-10-04,IBM,184.100006
2013-10-04,INTC,22.809999
2013-10-04,JNJ,87.309998
2013-10-04,JPM,52.669998
2013-10-04,KO,37.200001
2013-10-04,MCD,94.699997
2013-10-04,MMM,119.400002
2013-10-04,MRK,48.230000
2013-10-04,MSFT,33.880001
2013-10-04,NKE,72.139999
2013-10-04,PFE,29.000000
2013-10-04,PG,76.019997
2013-10-04,T,33.750000
2013-10-04,TRV,84.680000
2013-10-04,UNH,72.989998
2013-10-04,UTX,104.269997
2013-10-04,V,190.479996
2013-10-04,VZ,47.099998
2013-10-04,WMT,72.800003
2013-10-04,XOM,86.320000
2013-10-04,^DJI,15072.580078
2013-10-07,AXP,72.940002
2013-10-07,BA,116.690002
2013-10-07,CAT,83.529999
2013-10-07,CSCO,22.889999
2013-10-07,CVX,117.870003
2013-10-07,DD,58.109998
2013-10-07,DIS,64.589996
2013-10-07,GE,23.940001
2013-10-07,GS,154.250000
2013-10-07,HD,75.129997
2013-10-07,IBM,182.009995
2013-10-07,INTC,22.830000
2013-10-07,JNJ,86.589996
2013-10-07,JPM,51.830002
2013-10-07,KO,37.049999
2013-10-07,MCD,94.360001
2013-10-07,MMM,118.690002
2013-10-07,MRK,47.889999
2013-10-07,MSFT,33.299999
2013-10-07,NKE,71.339996
2013-10-07,PFE,28.620001
2013-10-07,PG,75.650002
2013-10-07,T,34.000000
2013-10-07,TRV,84.089996
2013-10-07,UNH,72.169998
2013-10-07,UTX,104.029999
2013-10-07,V,186.330002
2013-10-07,VZ,47.290001
2013-10-07,WMT,71.870003
2013-10-07,XOM,85.900002
2013-10-07,^DJI,14936.240234
2013-10-08,AXP,72.220001
2013-10-08,BA,115.440002
2013-10-08,CAT,82.849998
2013-10-08,CSCO,22.639999
2013-10-08,CVX,116.730003
2013-10-08,DD,57.070000
