date,symbol,close
2009-06-08,AA,10.769988
2009-06-08,AXP,25.650000
2009-06-08,BA,52.830002
2009-06-08,BAC,12.060000
2009-06-08,CAT,38.570000
2009-06-08,CSCO,19.870001
2009-06-08,CVX,69.580002
2009-06-08,DD,26.210000
2009-06-08,DIS,25.330000
2009-06-08,GE,13.560000
2009-06-08,HD,24.559999
2009-06-08,HPQ,37.410000
2009-06-08,IBM,107.489998
2009-06-08,INTC,15.920000
2009-06-08,JNJ,55.630001
2009-06-08,JPM,35.389999
2009-06-08,KO,49.380001
2009-06-08,MCD,58.720001
2009-06-08,MDLZ,26.590000
2009-06-08,MMM,60.689999
2009-06-08,MRK,25.930000
2009-06-08,MSFT,22.049999
2009-06-08,PFE,14.310000
2009-06-08,PG,53.139999
2009-06-08,T,24.400000
2009-06-08,TRV,43.919998
2009-06-08,UTX,56.490002
2009-06-08,VZ,29.279884
2009-06-08,WMT,50.810001
2009-06-08,XOM,73.169998
2009-06-08,^DJI,8764.490234
2009-06-09,AA,11.149987
2009-06-09,AXP,26.930000
2009-06-09,BA,52.349998
2009-06-09,BAC,12.060000
2009-06-09,CAT,38.240002
2009-06-09,CSCO,20.080000
2009-06-09,CVX,70.190002
2009-06-09,DD,26.929999
2009-06-09,DIS,25.330000
2009-06-09,GE,13.570000
2009-06-09,HD,24.350000
2009-06-09,HPQ,36.839999
2009-06-09,IBM,108.139999
2009-06-09,INTC,16.420000
2009-06-09,JNJ,55.700001
2009-06-09,JPM,35.259998
2009-06-09,KO,49.090000
2009-06-09,MCD,59.080002
2009-06-09,MDLZ,26.209999
2009-06-09,MMM,60.340000
2009-06-09,MRK,25.719999
2009-06-09,MSFT,22.080000
2009-06-09,PFE,14.130000
2009-06-09,PG,52.410000
2009-06-09,T,24.209999
2009-06-09,TRV,44.040001
2009-06-09,UTX,55.520000
2009-06-09,VZ,29.419885
2009-06-09,WMT,50.610001
2009-06-09,XOM,73.120003
2009-06-09,^DJI,8763.059570
2009-06-10,AA,11.489987
2009-06-10,AXP,26.690001
2009-06-10,BA,52.299999
2009-06-10,BAC,11.980000
2009-06-10,CAT,37.619999
2009-06-10,CSCO,19.950001
2009-06-10,CVX,70.220001
2009-06-10,DD,26.769999
2009-06-10,DIS,25.100000
2009-06-10,GE,13.400000
2009-06-10,HD,24.389999
2009-06-10,HPQ,36.789998
2009-06-10,IBM,108.349998
2009-06-10,INTC,16.459999
2009-06-10,JNJ,55.660000
2009-06-10,JPM,34.840000
2009-06-10,KO,48.410000
2009-06-10,MCD,58.360001
2009-06-10,MDLZ,25.850000
2009-06-10,MMM,60.459999
2009-06-10,MRK,25.590000
2009-06-10,MSFT,22.549999
2009-06-10,PFE,14.050000
2009-06-10,PG,52.080002
2009-06-10,T,24.280001
2009-06-10,TRV,43.770000
2009-06-10,UTX,55.500000
2009-06-10,VZ,29.529883
2009-06-10,WMT,50.060001
2009-06-10,XOM,73.839996
2009-06-10,^DJI,8739.019531
2009-06-11,AA,12.219986
2009-06-11,AXP,25.629999
2009-06-11,BA,50.660000
2009-06-11,BAC,12.970000
2009-06-11,CAT,37.610001
2009-06-11,CSCO,20.100000
2009-06-11,CVX,71.900002
2009-06-11,DD,27.109999
2009-06-11,DIS,25.230000
2009-06-11,GE,13.460000
2009-06-11,HD,24.230000
2009-06-11,HPQ,37.229997
2009-06-11,IBM,109.400002
2009-06-11,INTC,16.350000
2009-06-11,JNJ,56.049999
2009-06-11,JPM,34.939999
2009-06-11,KO,48.580002
2009-06-11,MCD,57.669998
2009-06-11,MDLZ,25.950001
2009-06-11,MMM,60.580002
2009-06-11,MRK,26.190001
2009-06-11,MSFT,22.830000
2009-06-11,PFE,14.630000
2009-06-11,PG,52.009998
2009-06-11,T,24.790001
2009-06-11,TRV,43.570000
2009-06-11,UTX,55.549999
2009-06-11,VZ,29.749882
2009-06-11,WMT,49.320000
2009-06-11,XOM,74.050003
2009-06-11,^DJI,8770.919922
2009-06-12,AA,11.989986
2009-06-12,AXP,25.160000
2009-06-12,BA,51.439999
2009-06-12,BAC,13.720000
2009-06-12,CAT,37.730000
2009-06-12,CSCO,19.910000
2009-06-12,CVX,72.669998
2009-06-12,DD,26.999999
2009-06-12,DIS,25.059999
2009-06-12,GE,13.510000
2009-06-12,HD,24.150000
2009-06-12,HPQ,37.759997
2009-06-12,IBM,108.209999
2009-06-12,INTC,16.309999
