AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
80.519997,122.519997,87.339996,22.959999,119.650002,59.619997999999995,67.150002,25.549999,158.690002,74.690002,173.779999,23.879998999999998,91.629997,54.299999,38.779999,95.199997,122.839996,46.610001000000004,34.959998999999996,75.93,30.51,79.410004,34.610001000000004,86.58000200000001,68.760002,107.739998,200.449997,50.009997999999996,75.709999,87.550003,15399.650391
80.400002,121.470001,87.699997,22.93,119.82,59.459998,67.610001,26.139999,159.770004,74.620003,172.860001,24.139999,91.199997,54.27,38.82,94.589996,123.25,46.509997999999996,34.990002000000004,76.089996,30.4,78.970001,35.220001,86.760002,68.199997,107.620003,200.03999299999998,50.580002,75.150002,87.230003,15392.200195
80.870003,122.480003,89.16999799999999,22.65,120.639999,60.17,69.0,26.02,159.25,74.860001,174.970001,24.07,92.360001,53.619999,39.09,95.120003,123.800003,46.470001,34.580002,75.959999,30.68,80.379997,35.23,86.709999,68.860001,106.129997,199.979996,51.139998999999996,76.32,87.980003,15467.660156
80.629997,129.020004,83.760002,22.26,120.129997,60.219999,68.120003,25.700001,157.740005,75.08000200000001,175.770004,23.74,92.099998,52.75,39.09,94.209999,123.199997,46.560001,33.759997999999996,75.559998,30.6,80.910004,35.279999,86.279999,68.010002,106.389999,198.889999,50.82,75.900002,87.610001,15413.330078
80.900002,128.979996,84.529999,22.370001000000002,120.559998,61.38,69.050003,25.940001000000002,159.96000700000002,76.779999,177.800003,23.780001000000002,92.349998,52.48,38.799999,94.68,123.489998,46.220001,33.720001,75.510002,30.610001,80.610001,34.630001,87.029999,67.610001,107.059998,202.91000400000001,50.419998,76.41999799999999,88.41999799999999,15509.209961000002
82.610001,131.190002,84.769997,22.459999,120.589996,61.899997,69.260002,25.879998999999998,162.08999599999999,76.25,176.850006,24.24,92.089996,52.77,39.029999,94.779999,124.41999799999999,46.540001000000004,35.73,75.699997,30.610001,80.0,35.189999,86.629997,67.620003,107.519997,203.059998,50.709998999999996,76.08000200000001,87.970001,15570.280272999998
82.760002,129.880005,84.279999,22.549999,120.910004,61.56,69.0,26.09,161.449997,76.059998,177.350006,24.360001,92.389999,52.68,39.610001000000004,95.370003,124.91999799999999,45.349998,35.57,75.510002,30.74,81.300003,35.57,87.110001,66.940002,105.989998,203.080002,50.57,77.139999,88.230003,15568.929688
83.660004,129.66000400000001,84.07,22.83,121.5,61.48,68.91999799999999,26.209999,162.110001,77.5,182.119995,24.52,93.139999,52.73,39.799999,96.050003,125.279999,45.580002,35.52,75.910004,31.25,82.459999,36.27,87.279999,68.08000200000001,106.41999799999999,204.240005,51.09,77.059998,88.93,15680.349609
83.099998,129.679993,83.489998,22.709999,120.300003,61.02,68.470001,26.370001000000002,162.050003,77.879997,180.149994,24.5,92.790001,52.599998,39.619999,96.029999,124.790001,45.240002000000004,35.540001000000004,76.129997,30.93,81.519997,36.259997999999996,86.900002,68.010002,105.949997,203.820007,50.529999,76.910004,88.809998,15618.759766
81.800003,130.5,83.360001,22.559998999999998,119.959999,61.2,68.589996,26.139999,160.860001,77.889999,179.21000700000002,24.469998999999998,92.610001,51.540001000000004,39.57,96.519997,125.849998,45.09,35.41,75.760002,30.690001000000002,80.75,36.200001,86.300003,68.260002,106.25,196.669998,50.509997999999996,76.75,89.620003,15545.75
82.160004,133.029999,83.589996,22.57,118.010002,61.089998,69.010002,26.540001,162.050003,76.989998,179.229996,24.33,93.370003,52.509997999999996,39.610001000000004,97.239998,125.900002,45.23,35.529999,76.059998,31.17,81.150002,36.240002000000004,86.400002,68.629997,107.510002,199.16000400000001,50.490002000000004,77.07,89.82,15615.549805
81.93,132.78999299999998,83.889999,22.58,118.099998,60.309996999999996,68.809998,26.43,163.16000400000001,77.0,180.270004,24.26,93.029999,52.040001000000004,39.509997999999996,97.309998,126.32,45.720001,35.939999,76.370003,31.26,81.33000200000001,36.450001,86.599998,68.949997,107.980003,196.419998,51.080002,77.33000200000001,92.099998,15639.120116999999
81.900002,133.570007,84.050003,23.07,118.449997,60.299999,68.849998,26.42,161.949997,76.650002,177.850006,24.030001000000002,92.809998,51.950001,39.5,97.410004,126.120003,45.360001000000004,36.639998999999996,77.199997,31.24,81.43,35.529999,86.459999,68.720001,107.68,197.369995,50.099998,77.41999799999999,91.989998,15618.219727000002
82.120003,133.08999599999999,84.220001,23.280001000000002,121.139999,60.769997,69.0,26.9,163.520004,76.41999799999999,179.190002,24.25,93.040001,52.099998,40.049999,97.900002,127.129997,45.959998999999996,38.18,76.760002,30.969998999999998,82.809998,35.82,87.489998,70.290001,108.66999799999999,199.020004,50.610001000000004,78.160004,93.220001,15746.879883000001
80.91999799999999,131.509995,83.650002,23.110001,119.910004,60.849996999999995,67.150002,26.6,159.639999,75.690002,180.0,24.059998999999998,92.690002,51.650002,39.830002,97.199997,126.410004,45.82,37.5,75.699997,30.91,82.32,35.110001000000004,87.220001,69.760002,107.269997,196.100006,50.169998,77.510002,91.959999,15593.980469
81.779999,133.490005,84.239998,23.51,121.190002,61.999997,68.58000200000001,27.049999,163.169998,75.480003,179.990005,24.09,94.050003,53.959998999999996,40.049999,97.010002,127.989998,46.799999,37.779999,77.120003,31.32,82.510002,35.169998,87.800003,70.5,108.550003,198.28999299999998,50.200001,77.959999,92.730003,15761.780272999998
