AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
125.599998,78.690002,153.360001,80.440002,27.549999,106.660004,71.740002,106.360001,25.01,192.559998,115.589996,161.850006,31.309998999999998,100.160004,61.049999,40.889998999999996,96.849998,166.270004,57.150002,41.419998,100.839996,34.639998999999996,82.769997,107.339996,118.190002,117.839996,66.5,49.130001,81.029999,84.059998,17902.509766
126.559998,79.160004,153.419998,80.68,27.629998999999998,106.949997,71.93,106.769997,25.73,194.889999,114.57,162.33999599999999,31.24,101.33000200000001,61.470001,41.049999,96.550003,166.78999299999998,57.43,41.48,100.720001,35.029999,82.889999,107.300003,118.550003,117.879997,66.440002,49.009997999999996,80.839996,84.650002,17958.730469
127.099998,79.589996,154.380005,82.599998,28.040001,106.910004,72.229996,106.949997,28.51,195.639999,115.239998,162.860001,31.93,102.059998,61.700001,40.880001,97.800003,167.070007,57.25,41.720001,99.970001,35.439999,83.349998,107.650002,119.0,118.459999,66.339996,49.220001,80.650002,85.559998,18057.650391
126.849998,79.269997,153.240005,82.139999,27.98,106.5,71.959998,106.510002,27.629998999999998,195.580002,114.440002,162.380005,31.73,100.550003,62.07,40.700001,97.440002,165.83999599999999,56.73,41.759997999999996,99.269997,35.09,83.43,107.870003,119.370003,117.410004,65.610001,49.040001000000004,80.290001,85.339996,17977.039062
126.300003,79.489998,153.21000700000002,83.0,27.809998999999998,108.839996,72.25999399999999,106.660004,27.73,197.720001,114.050003,162.300003,31.49,100.519997,63.040001000000004,40.509997999999996,97.58000200000001,165.990005,57.759997999999996,41.650002,99.529999,35.029999,83.599998,107.790001,119.91999799999999,117.690002,65.529999,49.18,80.150002,86.629997,18036.699219
126.779999,79.75,152.429993,85.160004,28.25,110.410004,72.100002,106.980003,27.459999,201.100006,113.449997,164.130005,32.830002,100.599998,64.209999,40.400002,96.440002,166.440002,58.450001,42.259997999999996,99.83000200000001,35.209998999999996,83.510002,108.08000200000001,117.32,117.870003,65.68,49.389998999999996,79.739998,88.08000200000001,18112.609375
126.16999799999999,80.910004,151.970001,84.339996,28.6,110.160004,72.25,108.099998,27.280001000000002,200.21000700000002,113.370003,163.130005,32.869999,99.790001,63.810001,40.599998,95.629997,165.889999,57.84,42.16,99.900002,35.189999,83.5,108.66999799999999,121.599998,117.480003,65.650002,49.27,79.239998,87.730003,18105.769531
124.75,77.32,149.600006,83.279999,27.92,109.110001,71.549995,106.690002,27.25,197.350006,112.099998,160.669998,32.470001,99.58000200000001,62.84,40.299999,94.879997,161.71000700000002,56.880001,41.619999,98.550003,35.040001000000004,82.529999,105.400002,118.709999,115.110001,64.519997,48.900002,77.879997,86.93,17826.300781
127.599998,77.230003,152.669998,84.599998,28.48,110.290001,72.839999,108.220001,27.02,198.100006,112.860001,166.16000400000001,32.73,100.209999,63.240002000000004,40.66,96.18,164.509995,57.610001000000004,42.91,99.989998,35.009997999999996,82.870003,106.139999,118.58000200000001,116.510002,64.720001,49.380001,78.139999,87.239998,18034.929688
126.910004,77.279999,153.330002,83.91999799999999,28.690001000000002,109.730003,70.689998,107.68,26.620001000000002,196.83999599999999,113.16999799999999,164.259995,32.43,100.300003,62.310001,40.779999,94.870003,164.0,57.66,42.639998999999996,100.290001,34.889998999999996,83.08000200000001,101.879997,119.279999,116.949997,65.349998,49.169998,78.029999,86.879997,17949.589844
128.619995,78.440002,151.190002,84.870003,28.620001000000002,109.5,71.43999699999999,107.940002,26.91,198.320007,112.989998,165.360001,32.700001,100.43,62.939999,41.310001,97.839996,164.669998,57.689999,42.990002000000004,100.150002,34.93,83.089996,102.019997,117.809998,116.959999,68.010002,49.57,78.43,87.459999,18038.269531
129.669998,78.150002,149.869995,84.790001,28.68,109.970001,70.789994,109.0,26.85,199.309998,113.959999,170.240005,32.349998,100.459999,62.799999,40.950001,97.0,159.66000400000001,57.509997999999996,43.34,101.110001,35.360001000000004,80.949997,103.480003,118.260002,117.260002,67.720001,50.049999,79.18,87.540001,18058.689453
130.279999,77.989998,148.399994,84.599998,28.82,109.870003,71.519997,109.529999,26.799999,197.990005,113.699997,169.779999,32.080002,101.08000200000001,62.599998,40.889998999999996,98.739998,158.990005,57.599998,47.869999,100.949997,35.27,81.0,103.949997,118.690002,116.160004,67.480003,50.029999,79.839996,86.970001,18080.140625
132.649994,77.489998,147.800003,85.33000200000001,28.889999,109.699997,74.809996,110.160004,26.879998999999998,196.520004,111.389999,170.729996,32.5,100.58000200000001,62.34,40.830002,96.440002,157.979996,57.099998,48.029999,100.940002,34.59,80.599998,103.33000200000001,116.239998,115.739998,67.099998,50.080002,79.370003,87.010002,18037.970703
130.559998,77.489998,147.509995,86.199997,29.32,111.120003,74.819998,109.91999799999999,27.120001000000002,197.490005,110.58000200000001,173.919998,33.02,100.739998,62.759997999999996,40.77,96.83000200000001,158.330002,59.98,49.16,99.860001,34.48,80.41999799999999,103.68,117.589996,116.08000200000001,66.769997,50.549999,79.099998,87.800003,18110.140625
