AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,PFE,PG,T,TRV,UNH,UTX,VZ,WMT,XOM,^DJI
9.059989,57.669998,70.029999,9.1,90.870003,18.809998999999998,117.779999,51.189997,52.919998,22.360001,59.389998999999996,17.21,205.28999299999998,22.799999,69.0,41.23,38.119999,93.709999,93.730003,45.139998999999996,30.780001000000002,24.75,69.760002,38.25,68.41999799999999,55.98,80.029999,45.68,74.739998,91.879997,13558.919922
8.83999,57.130001,69.379997,8.93,87.010002,18.67,116.93,50.45,52.540001000000004,22.309998999999998,59.720001,16.709999,204.979996,22.540001,69.32,40.549999,37.68,92.860001,92.83000200000001,45.110001000000004,30.389999,24.84,69.589996,38.060001,68.480003,56.200001,78.769997,45.619999,74.260002,91.739998,13457.549805
8.88999,56.139998999999996,70.25,8.82,86.949997,18.58,116.300003,50.499998,51.939999,22.1,59.169998,17.109999,204.0,22.65,69.0,40.240002000000004,37.759997999999996,93.199997,92.589996,45.009997999999996,30.17,24.83,69.300003,38.080002,67.779999,55.779999,78.529999,45.59,74.190002,91.230003,13413.509766
8.989989999999999,56.57,70.099998,8.97,86.91999799999999,18.799999,117.199997,50.839998,52.580002,22.73,59.880001,17.229999,205.91000400000001,23.09,69.010002,40.68,38.310001,93.269997,92.82,45.23,30.16,24.959999,69.300003,37.990002000000004,68.410004,56.240002000000004,78.349998,45.759997999999996,73.980003,91.800003,13485.969727000002
8.85999,56.860001000000004,69.599998,8.83,86.040001,19.1,116.559998,50.27,52.279999,22.709999,60.369999,17.059998999999998,207.449997,22.66,68.910004,40.48,37.93,91.75,92.41999799999999,45.099998,29.76,24.85,69.360001,37.700001,68.260002,55.41,78.290001,45.57,73.800003,91.449997,13437.129883000001
8.909989999999999,57.73,70.010002,8.96,85.470001,19.040001,117.25,50.359998,52.07,22.809998999999998,60.57,17.21,210.47000099999997,22.76,69.129997,40.970001,38.380001,91.989998,93.290001,45.220001,29.49,25.040001,69.449997,37.75,69.07,56.459998999999996,78.349998,45.810001,74.050003,91.800003,13515.110352000002
8.84999,57.18,69.529999,8.93,85.470001,18.870001000000002,117.959999,49.500001,51.639998999999996,22.790001,60.330002,17.129998999999998,209.83999599999999,22.84,68.959999,40.919998,38.34,90.93,93.540001,45.470001,29.66,25.120001000000002,68.790001,37.810001,68.699997,56.799999,78.389999,45.860001000000004,73.75,91.720001,13482.360352000002
8.77999,57.400002,69.860001,9.11,85.279999,18.93,116.139999,49.44,52.470001,22.91,61.77,14.909999,210.50999500000003,22.549999,69.0,40.860001000000004,38.240002000000004,90.349998,93.779999,45.779999,29.860001,25.32,69.16999799999999,38.169998,69.010002,56.860001000000004,78.559998,46.279999,74.199997,91.699997,13494.610352000002
9.069989999999999,58.369999,69.940002,9.41,85.959999,18.9,117.150002,49.749999,52.630001,22.950001,61.740002000000004,14.939998999999998,210.38999900000002,22.469998999999998,69.269997,41.82,38.330002,91.029999,94.43,46.119999,30.030001000000002,25.35,69.379997,38.34,69.279999,57.970001,78.529999,47.259997999999996,74.720001,92.220001,13575.360352000002
9.089989,58.560001,70.889999,9.32,85.43,18.860001,117.5,50.35,52.970001,23.120001000000002,63.200001,14.73,210.58999599999999,22.68,69.650002,41.709998999999996,38.580002,91.0,94.959999,46.279999,29.85,25.52,69.629997,37.860001000000004,69.559998,57.130001,78.510002,47.049999,75.129997,92.550003,13610.150391
9.119989,58.82,70.57,9.28,85.440002,18.9,117.620003,50.259997999999996,52.330002,22.92,61.880001,14.46,209.82000699999998,22.51,69.440002,41.66,38.580002,91.540001,95.370003,46.34,29.780001000000002,25.4,69.099998,37.66,69.540001,57.599998,78.370003,46.57,75.25,92.68,13583.650391
9.12999,58.240002000000004,70.639999,9.21,84.75,18.799999,117.360001,49.500001,51.509997999999996,22.620001000000002,60.950001,14.369998999999998,207.990005,21.9,68.410004,41.380001,38.560001,92.110001,93.940002,46.169998,29.280001000000002,25.309998999999998,68.699997,37.139998999999996,69.32,57.470001,77.33000200000001,46.110001000000004,74.139999,92.129997,13473.530272999998
8.70999,57.970001,70.339996,9.21,83.160004,18.309998999999998,112.449997,49.12,51.209998999999996,22.43,59.740002000000004,14.18,205.820007,21.76,68.220001,41.77,38.09,92.400002,93.279999,45.599998,28.98,25.16,68.139999,36.919998,69.400002,57.110001000000004,76.019997,45.779999,75.41999799999999,91.029999,13344.969727
8.76999,58.470001,70.83000200000001,9.34,82.849998,18.26,113.059998,48.78,50.34,22.51,59.009997999999996,14.25,205.759995,21.68,67.970001,42.099998,38.110001000000004,92.360001,92.83000200000001,45.450001,28.950001,25.120001000000002,68.0,36.259997999999996,69.160004,57.66,76.050003,45.200001,75.010002,91.16999799999999,13326.389648
8.68999,57.889998999999996,71.849998,9.12,82.82,18.41,112.07,48.689997,50.59,22.48,59.560001,14.409999,207.800003,21.48,67.970001,41.619999,38.23,92.510002,92.75,45.619999,29.200001,25.120001000000002,67.940002,35.630001,68.720001,57.07,75.959999,44.619999,75.809998,91.029999,13328.849609
8.79999,57.59,72.25,9.44,82.809998,18.549999,112.82,49.009997999999996,50.790001000000004,22.639999,60.650002,14.469999,208.929993,21.73,68.599998,42.380001,38.130001,93.5,92.790001,46.59,29.51,25.57,68.709999,35.209998999999996,69.790001,57.490002000000004,76.150002,44.5,77.150002,91.510002,13424.230469
